Zone_ID,N,P,K,Moisture,pH,Temperature,Humidity,Semantic_Tag,Action_Suggested,Current_Node,Label
Z5,15.80789304507372,2.7254988008747794,41.9726815334716,12.963036497188758,4.730460898382419,30.107280865132815,63.691300484841264,"Healthy, P-deficiency",Monitor,Edge-Node-B,1
Z8,8.402775422611546,2.0006608149075107,28.809515734668157,11.915164707842294,9.448559193758044,27.19366579155185,48.81899383081512,"Healthy, Healthy",Apply Fertilizer,Cloud-Node-2,1
Z3,16.0,24.0,44.0,21.0,6.17,37.81,77.07,"P-deficiency, N-deficiency",Monitor,Edge-Node-A,0
Z4,73.0,14.0,65.0,16.9,5.22,36.93,36.08,"Pest-risk, K-deficiency",Apply Pesticide,Edge-Node-A,0
Z5,71.0,6.0,22.0,36.67,5.48,41.51,90.85,"K-deficiency, N-deficiency",Apply Pesticide,Cloud-Node-1,0
Z4,49.069923536212954,54.67791479749443,114.96382085627035,5.016617346673722,4.346261153416778,26.93243501683562,30.892977647111,"N-deficiency, Pest-risk",Apply Fertilizer,Cloud-Node-1,1
Z5,56.0,34.0,29.0,12.41,5.1,34.38,45.94,"Healthy, Healthy",Apply Fertilizer,Edge-Node-B,0
Z6,32.0,36.0,32.0,21.58,5.03,24.58,82.69,"P-deficiency, Pest-risk",Monitor,Edge-Node-A,0
Z6,24.0,25.0,24.0,29.07,5.49,26.68,47.7,"Pest-risk, Pest-risk",Apply Pesticide,Cloud-Node-2,0
Z2,15.202361731147384,19.256324859453354,40.03288589202144,15.33281837227017,6.879206449149517,20.28677103708542,29.599647185646173,"Healthy, Healthy",Apply Fertilizer,Edge-Node-B,1
Z7,60.0,11.0,82.0,31.16,5.51,28.19,42.61,"P-deficiency, P-deficiency",Monitor,Cloud-Node-1,0
Z10,18.0,16.0,49.0,10.17,5.63,37.94,81.59,"N-deficiency, Pest-risk",Monitor,Edge-Node-A,0
Z9,109.69823740501468,38.6261399313432,128.23878457205942,49.2334375879745,9.215292947418572,33.69385280064645,125.68252861758901,"Healthy, P-deficiency",Irrigate,Cloud-Node-1,1
Z3,50.0,25.0,81.0,11.38,7.05,21.81,64.15,"Healthy, N-deficiency",Irrigate,Edge-Node-B,0
Z2,27.0,32.0,54.0,22.61,6.28,27.93,45.28,"Pest-risk, Healthy",Apply Pesticide,Edge-Node-A,0
Z8,35.0,38.0,92.0,16.46,5.68,21.41,65.09,"K-deficiency, Pest-risk",Monitor,Cloud-Node-2,0
Z8,15.744943112164798,20.410111441695108,51.31685162483341,16.140698304410954,7.846970418926398,19.5471545884655,46.092398398864155,"K-deficiency, P-deficiency",Monitor,Cloud-Node-2,1
Z5,73.0,15.0,65.0,10.5,5.55,18.15,69.24,"Healthy, P-deficiency",Apply Fertilizer,Edge-Node-B,0
Z10,69.0,14.0,47.0,30.4,7.18,39.2,92.7,"P-deficiency, K-deficiency",Irrigate,Cloud-Node-1,0
Z2,50.0,30.0,61.0,19.92,5.64,41.32,93.39,"N-deficiency, P-deficiency",Monitor,Cloud-Node-1,0
Z2,20.36966582339308,22.067137975342504,11.316481012996157,12.827379400608383,6.1894809513910065,24.315373139062537,44.020920714225326,"Healthy, P-deficiency",Monitor,Edge-Node-B,1
Z4,41.033115366578045,15.738729181701167,21.921801360226624,15.411439687664403,8.439476374588313,22.809330701998732,60.73959255443013,"Healthy, K-deficiency",Monitor,Edge-Node-A,1
Z6,15.0,28.0,76.0,17.87,6.38,39.95,81.36,"N-deficiency, P-deficiency",Apply Pesticide,Edge-Node-B,0
Z1,71.13459809541156,13.337737142889669,35.56729904770578,50.46489263303388,5.831213469329624,33.53941756035388,108.16604110575993,"Pest-risk, K-deficiency",Irrigate,Cloud-Node-2,1
Z3,48.0,20.0,24.0,8.81,6.91,36.43,28.65,"P-deficiency, K-deficiency",Monitor,Cloud-Node-1,0
Z6,15.0,36.0,63.0,17.41,8.0,30.55,32.73,"N-deficiency, N-deficiency",Monitor,Cloud-Node-2,0
Z3,69.0,9.0,89.0,11.45,5.19,31.96,43.16,"P-deficiency, P-deficiency",Apply Fertilizer,Edge-Node-B,0
Z3,78.16483336063675,28.56022757407881,67.64264425439718,17.12372490465802,6.897763176804792,14.6627524100492,24.21929002036563,"K-deficiency, P-deficiency",Apply Pesticide,Edge-Node-A,1
Z4,72.0,28.0,81.0,15.02,6.38,31.18,91.86,"Pest-risk, Pest-risk",Apply Pesticide,Cloud-Node-1,0
